2020/07/09-10:45:00 [main] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
2020/07/09-10:45:00 [main] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet engine: [Apache Tomcat/9.0.33]
2020/07/09-10:45:00 [main] INFO  org.apache.catalina.core.AprLifecycleListener- An older version [1.2.21] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020/07/09-10:45:00 [main] INFO  org.apache.catalina.core.AprLifecycleListener- Loaded APR based Apache Tomcat Native library [1.2.21] using APR version [1.6.5].
2020/07/09-10:45:00 [main] INFO  org.apache.catalina.core.AprLifecycleListener- APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020/07/09-10:45:00 [main] INFO  org.apache.catalina.core.AprLifecycleListener- APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020/07/09-10:45:00 [main] INFO  org.apache.catalina.core.AprLifecycleListener- OpenSSL successfully initialized [OpenSSL 1.1.1a  20 Nov 2018]
2020/07/09-10:45:01 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
2020/07/09-10:45:01 [main] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 789 ms
2020/07/09-10:45:01 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
2020/07/09-10:45:01 [main] INFO  org.apache.coyote.http11.Http11NioProtocol- Starting ProtocolHandler ["http-nio-8890"]
2020/07/09-10:45:01 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat started on port(s): 8890 (http) with context path ''
2020/07/09-10:45:01 [main] INFO  com.gl.gl_wechat.GlWechatApplication- Started GlWechatApplication in 1.598 seconds (JVM running for 2.735)
